Title,Company,Location,Salary,Source,Category,Salary_Numeric,City
Software Development Engineer in Test,"Contour Software, Lahore, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
Network Engineer,"Contour Software, Karachi, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
DevOps Engineer,"Contour Software, Karachi, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
Azure Software Engineer (Dynamics 365),"Contour Software, Multiple Cities, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
Software Quality Assurance Engineer,"Infotech, Lahore, Pakistan","Infotech,",N/A,Rozee,Software Engineer,,"Infotech,"
Senior Cloud Engineer,"Contour Software, Multiple Cities, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
Senior Java Software Engineer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Software Engineer,,"Naseeb Enterprise Inc,"
Software Engineer Internal Systems,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Software Engineer,,"Naseeb Enterprise Inc,"
Software Engineer,"Samad Enterprises, Karachi, Pakistan","Samad Enterprises,",N/A,Rozee,Software Engineer,,"Samad Enterprises,"
Software Engineer .NETAngular,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Software Engineer,,"Naseeb Enterprise Inc,"
Full Stack Engineer,"Au Software, Lahore, Pakistan","Au Software,",N/A,Rozee,Software Engineer,,"Au Software,"
Dynamics 365 Customer Engagement Engineer,"Contour Software, Lahore, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
Senior Elastic Search Engineer,"Contour Software, Multiple Cities, Pakistan","Contour Software,",N/A,Rozee,Software Engineer,,"Contour Software,"
